Date_Time,Product_cat,product_code,product_name,units,amount
1/1/2020 10:05,Grocery,3,Fresh Bread & Rolls,10,1790
1/1/2020 12:05,Grocery,19,Coffee,36,6696
1/1/2020 14:05,Vegetables,26,Watermelon,28,6356
1/1/2020 16:05,Grocery,3,Fresh Bread & Rolls,51,9129
1/1/2020 18:05,Meat products,21,Breakfast Meats,83,8217
1/1/2020 20:05,Drinks,18,Bottled Juices,32,6816
1/1/2020 22:05,Meat products,21,Breakfast Meats,76,7524
1/2/2020 0:05,Drinks,15,Soup,69,9108
1/2/2020 2:05,Snacks,1,Carbonated Beverages,36,1476
1/2/2020 4:05,Grocery,9,Cold Cereal,33,9207
1/2/2020 6:05,Meat products,21,Breakfast Meats,39,3861
1/2/2020 8:05,Meat products,20,Luncheon Meats,15,705
1/2/2020 10:05,Snacks,1,Carbonated Beverages,16,656
1/2/2020 12:05,Snacks,4,Salty Snacks,54,4374
1/2/2020 14:05,Vegetables,26,Watermelon,74,16798
1/2/2020 16:05,Vegetables,25,Potato,49,6027
1/2/2020 18:05,Meat products,20,Luncheon Meats,59,2773
1/2/2020 20:05,Grocery,3,Fresh Bread & Rolls,15,2685
1/2/2020 22:05,Dairy Product,2,Milk,95,18050
1/3/2020 0:05,Vegetables,25,Potato,79,9717
1/3/2020 2:05,Dairy Product,13,Ice Cream/Sherbet,93,1953
1/3/2020 4:05,Dairy Product,2,Milk,67,12730
1/3/2020 6:05,Drinks,18,Bottled Juices,1,213
1/3/2020 8:05,Snacks,10,Cigarettes,63,14805
1/3/2020 10:05,Snacks,4,Salty Snacks,68,5508
1/3/2020 12:05,Meat products,20,Luncheon Meats,37,1739
1/3/2020 14:05,Dairy Product,13,Ice Cream/Sherbet,34,714
1/3/2020 16:05,Snacks,1,Carbonated Beverages,4,164
1/3/2020 18:05,Snacks,17,Cookies,22,3674
1/3/2020 20:05,Meat products,20,Luncheon Meats,19,893
1/3/2020 22:05,Drinks,7,Wine,94,26884
1/4/2020 0:05,Drinks,7,Wine,22,6292
1/4/2020 2:05,Drinks,5,Beer/Ale/Alcoholic Cider,93,4836
1/4/2020 4:05,Drinks,15,Soup,80,10560
1/4/2020 6:05,Snacks,4,Salty Snacks,53,4293
1/4/2020 8:05,Drinks,14,Bottled Water,3,528
1/4/2020 10:05,Drinks,5,Beer/Ale/Alcoholic Cider,8,416
1/4/2020 12:05,Snacks,4,Salty Snacks,80,6480
1/4/2020 14:05,Grocery,9,Cold Cereal,74,20646
1/4/2020 16:05,Drinks,12,Rfg Juices/Drinks,19,4123
1/4/2020 18:05,Snacks,10,Cigarettes,99,23265
1/4/2020 20:05,Vegetables,25,Potato,74,9102
1/4/2020 22:05,Grocery,3,Fresh Bread & Rolls,84,15036
1/5/2020 0:05,Vegetables,27,Onion,89,8989
1/5/2020 2:05,Vegetables,26,Watermelon,82,18614
1/5/2020 4:05,Vegetables,26,Watermelon,42,9534
1/5/2020 6:05,Drinks,7,Wine,46,13156
1/5/2020 8:05,Vegetables,26,Watermelon,12,2724
1/5/2020 10:05,Snacks,17,Cookies,50,8350
1/5/2020 12:05,Snacks,1,Carbonated Beverages,20,820
1/5/2020 14:05,Drinks,7,Wine,65,18590
1/5/2020 16:05,Snacks,16,Crackers,53,3021
1/5/2020 18:05,Grocery,9,Cold Cereal,31,8649
1/5/2020 20:05,Dairy Product,6,Natural Cheese,92,23000
1/5/2020 22:05,Meat products,20,Luncheon Meats,97,4559
1/6/2020 0:05,Dairy Product,11,Yogurt,46,10304
1/6/2020 2:05,Dairy Product,11,Yogurt,60,13440
1/6/2020 4:05,Dairy Product,2,Milk,48,9120
1/6/2020 6:05,Vegetables,25,Potato,61,7503
1/6/2020 8:05,Drinks,5,Beer/Ale/Alcoholic Cider,71,3692
1/6/2020 10:05,Meat products,20,Luncheon Meats,12,564
1/6/2020 12:05,Snacks,17,Cookies,64,10688
1/6/2020 14:05,Dairy Product,6,Natural Cheese,25,6250
1/6/2020 16:05,Grocery,8,Fz Dinners/Entrees,13,3718
1/6/2020 18:05,Snacks,23,Total Chocolate Candy,87,18270
1/6/2020 20:05,Dairy Product,11,Yogurt,94,21056
1/6/2020 22:05,Meat products,22,Rfg Fresh Eggs,99,22077
1/7/2020 0:05,Drinks,5,Beer/Ale/Alcoholic Cider,91,4732
1/7/2020 2:05,Drinks,18,Bottled Juices,56,11928
1/7/2020 4:05,Drinks,15,Soup,26,3432
